id,crime
92,111.7
93,76
94,67.7
95,97.4
96,77.5
97,158.6
98,94.1
99,102
910,81
911,105.1
912,121.4
913,127
914,103.1
915,65.9
916,73.3
917,91
918,95.1
919,144.5
920,129
921,70
922,120.6
923,109.3
924,74.9
925,119.6
926,88.9
927,62.5
928,131.8
929,69.3
930,112.2
931,109.9
932,85.1
102,104.9
103,73.1
104,59.6
105,96.8
106,71.4
107,159.3
108,90.2
109,104.9
1010,76.9
1011,96.8
1012,115.9
1013,133.5
1014,97.3
1015,63.1
1016,74.4
1017,87.3
1018,95.7
1019,140.3
1020,132
1021,70.3
1022,119.8
1023,105.9
1024,73.9
1025,114.9
1026,89.1
1027,63
1028,127.7
1029,65.5
1030,115.3
1031,108.4
1032,81.7
112,100.7
113,73.5
114,52.3
115,101.2
116,70.5
117,162.7
118,89.8
119,96
1110,73
1111,87.7
1112,112.9
1113,128.4
1114,101.4
1115,58.9
1116,72.7
1117,86.9
1118,97.2
1119,131
1120,131.2
1121,70
1122,121.5
1123,98.1
1124,70.6
1125,103.1
1126,86.2
1127,64.1
1128,119.4
1129,61.4
1130,115
1131,95.8
1132,79.3
122,90.5
123,69.7
124,52.7
125,86.6
126,64.5
127,146
128,84.3
129,88.1
1210,71
1211,81.2
1212,110.3
1213,121.1
1214,90.3
1215,55.5
1216,68.7
1217,73.2
1218,86.9
1219,132
1220,133.6
1221,62.2
1222,112.5
1223,87.8
1224,66.1
1225,101
1226,78.8
1227,62.4
1228,111.6
1229,57.8
1230,110.6
1231,93.2
1232,82.5
132,82.9
133,61.6
134,50
135,77.1
136,61.2
137,124.7
138,75.7
139,75.6
1310,70.6
1311,74.4
1312,101.1
1313,106.2
1314,83.8
1315,50.3
1316,62.5
1317,67.2
1318,75
1319,114.1
1320,115.5
1321,55.7
1322,104.8
1323,78
1324,57.1
1325,91
1326,69.5
1327,55
1328,104.5
1329,53.1
1330,99.5
1331,83.1
1332,71.6
142,81.9
143,61.9
144,51.2
145,78.3
146,63.6
147,121
148,76.6
149,75.8
1410,68.7
1411,78.2
1412,97.7
1413,113.6
1414,89
1415,50.1
1416,62.4
1417,75.2
1418,78.4
1419,118.6
1420,120.6
1421,57.5
1422,103.8
1423,75.7
1424,59.8
1425,89.4
1426,68.7
1427,55.7
1428,99.6
1429,55.4
1430,96.3
1431,77.5
1432,72.3
152,86.5
153,65.8
154,52.2
155,80.6
156,65.1
157,125.2
158,76.4
159,78.8
1510,69.9
1511,79.9
1512,101.1
1513,114.3
1514,95.4
1515,53.3
1516,67.7
1517,73.8
1518,81.6
1519,123.6
1520,124.7
1521,58.5
1522,107.9
1523,83.1
1524,63.2
1525,90.4
1526,66.2
1527,55.1
1528,101.7
1529,54.7
1530,97.4
1531,80.4
1532,74.1
162,70.9
163,55.8
164,45.6
165,70.8
166,52.7
167,103.1
168,67.4
169,69
1610,58.5
1611,71.6
1612,91.2
1613,98.1
1614,85.8
1615,45.5
1616,58.1
1617,63.5
1618,71.3
1619,99.9
1620,109.8
1621,49.6
1622,90.8
1623,68.4
1624,53.5
1625,77.1
1626,56.7
1627,49.9
1628,87.9
1629,45
1630,85.3
1631,64.9
1632,65.8
